Value,Diff
872.31,15.27
857.04,0.23
856.81,17.67
839.14,-7.97
847.11,6.76
840.35,18.71
821.64,13.34
808.3,-14.38
822.68,12.74
809.94,-35.95
845.89,10.13
835.76,-8.66
844.42,20.44
823.98,8.75
815.23,-0.09
815.32,-14.55
829.87,-1.3
831.17,37.68
793.49,17.76
775.73,-1.21
776.94,12.82
764.12,-6.84
770.96,-5.03
775.99,23.3
752.69,-3.55
756.24,8.93
747.31,-11.27
758.58,-10.13
768.71,12.21
756.5,-0.86
757.36,-12.22
769.58,-25.55
795.13,-17.67
812.8,-24.52
837.32,8.23
829.09,-11.61
840.7,-6.15
846.85,15.16
831.69,-15.85
847.54,-11.69
859.23,22.26
836.97,13.95
823.02,04.07
818.95,6.49
812.46,-27.37
839.83,6.41
833.42,-22.87
856.29,-32.14
888.43,-2.42
890.85,-5.98
896.83,1.3
895.53,16.2
879.33,-28.41
907.74,29.19
878.55,16.11
862.44,-3.38
865.82,-14.2
880.02,-17.07
897.09,59.08
838.01,31.96
806.05,-17.06
823.11,16.02
807.09,9.36
797.73,-12.39
810.12,-1.38
811.5,-0.35
811.85,6.5
805.35,-3.12
808.47,3.46
805.01,-25.72
830.73,-5.55
836.28,-1.21
837.49,-22.26
859.75,25.12
834.63,12.4
822.23,-4.78
827.01,3.73
823.28,7.53
815.75,-27.11
842.86,-9.96
852.82,-6.93
859.75,-2.43
862.18,-13.51
875.69,5.19
870.5,13.52
856.98,0.34
856.64,9.1
847.54,16.98
830.56,-11.35
841.91,5.63
836.28,15.07
821.21,-13.94
835.15,-8.15
843.3,-5.8
849.1,7.12
841.98,-4.18
846.16,12.63
833.53,5.46
828.07,-11.69
839.76,-6.4
846.16,-20.9
867.06,-16.3
883.36,3.16
880.2,-7.43
887.63,13.48
874.15,-4.95
879.1,-14.84
893.94,15.36
878.58,-19.03
897.61,58.62
838.99,24.31
814.68,5.38
809.3,-9.64
818.94,12.46
806.48,-9.22
815.7,3.93
811.77,-10.58
822.35,-10.84
833.19,-9.56
842.75,3.84
838.91,0
838.91,10.07
828.84,-29.69
858.53,-8.62
867.15,-8.96
876.11,-5.37
881.48,-14.25
895.73,10.75
884.98,16.21
868.77,5.63
863.14,42.58
820.56,8.87
811.69,26.54
785.15,7.5
777.65,-6.48
784.13,-7.42
791.55,28.15
763.4,-40.18
803.58,-7.34
810.92,5.12
805.8,-21.08
826.88,-27.22
854.1,3.25
850.85,-10.67
861.52,-14.85
876.37,6.66
869.71,-12.12
881.83,-7.08
888.91,-2.22
891.13,-32.85
923.98,5.89
918.09,-13.39
931.48,-23.21
954.69,-12.03
966.72,8.53
958.19,25.6
932.59,-8.37
940.96,4.44
936.52,-27.22
963.74,23.64
940.1,-10.58
950.68,0
950.68,-5.46
956.14,12.54
943.6,19.11
924.49,-7.93
932.42,-53.93
986.35,-3.58
989.93,-3.41
993.34,37.11
956.23,39.08
917.15,-20.05
937.2,-29.18
966.38,-6.4
972.78,04.09
968.69,-4.6
973.29,33.1
940.19,-7.08
947.27,-5.03
952.3,20.73
931.57,-4.52
936.09,-38.49
974.58,9.96
964.62,-21.15
985.77,-7.03
992.8,-1.98
994.78,-12.33
1007.11,6.84
1000.27,-5.31
1005.58,-14.77
1020.35,24.76
995.59,19.19
976.4,-9.55
985.95,14.23
971.72,-20.03
991.75,-2.04
993.79,-12.49
1006.28,10.09
996.19,3.32
992.87,33.68
959.19,3.52
955.67,-3.23
958.9,22.16
936.74,-15.6
952.34,9.8
942.54,5.61
936.93,16.36
