id,wind_mean
0,3.8006
1,4.3956
2,4.1922
3,4.2526
4,3.4752
5,3.7588
6,2.4853
7,1.8669
8,1.8909
9,1.8358
10,1.8401
11,1.7143
12,1.4942
13,1.7363
14,2.4791
15,2.439
16,2.3259
17,2.1233
18,1.8439
19,1.2313
20,0.9343
21,0.9863
22,0.9217
23,0.5302
24,0.7114
25,0.4056
26,1.0258
27,0.9597
28,1.0584
29,1.514
30,1.5424
31,1.3008
32,1.8509
33,1.7887
34,2.2549
35,2.508
36,2.6592
37,2.245
38,2.5713
39,3.1126
40,3.3542
41,3.0856
42,2.8506
43,3.0625
44,3.3754
45,3.3664
46,3.4303
47,3.6812
48,3.518
49,3.3748
50,3.4718
51,4.2427
52,4.1488
53,4.0071
54,3.6521
55,3.9607
56,4.6337
57,3.9931
58,3.6459
59,3.4668
60,3.136
61,3.3562
62,3.3491
63,3.18
64,3.3208
65,3.5918
66,3.6282
67,4.0068
68,4.4502
69,4.3642
70,4.2541
71,4.4534
72,3.4843
73,2.9643
74,2.523
75,2.5738
76,3.1714
77,3.3929
78,4.0026
79,3.4247
80,3.2576
81,3.3151
82,2.7826
83,2.0029
84,2.7803
85,3.4624
86,3.6734
87,3.6923
88,3.6667
89,3.5811
90,3.6423
91,4.216
92,3.8362
93,4.4322
94,4.1484
95,3.4067
96,2.9561
97,3.1932
98,6.5932
99,6.1803
100,6.6244
101,7.5427
102,6.7576
103,7.353
104,8.2919
105,8.5735
106,9.051
107,8.4359
108,7.1658
109,7.4827
110,6.4149
111,6.9283
112,6.5602
113,7.3714
114,6.1193
115,6.9386
116,6.1049
117,7.35
118,6.5179
119,7.3862
120,7.6887
121,8.0538
122,7.6747
123,7.9609
124,6.9477
125,8.0024
126,7.2658
127,7.6655
128,8.0417
129,8.2316
130,7.858
131,8.5357
132,7.7056
133,7.0732
134,7.8259
135,6.5348
136,7.7219
137,7.4739
138,7.497000000000001
139,7.251
140,7.3724
141,7.001
142,6.5360000000000005
143,5.4196
144,6.0877
145,5.1747
146,6.511
147,6.4856
148,6.7491
149,5.8131
150,6.3672
151,5.1216
152,4.5762
153,4.3652
154,3.9564
155,4.0132
156,4.1531
157,4.369
158,4.3395
159,3.479
160,3.5036
161,3.6209
162,3.8154
163,3.5864
164,3.594
165,3.0348
166,2.7325
167,3.4166
168,3.5711
169,4.1876
170,4.3239
171,4.643
172,5.4878
173,5.4271
174,5.4481
175,5.2706
176,4.5665
177,3.5963
178,2.696
179,2.5663
180,2.9105
181,3.162
182,4.2567
183,4.1044
184,3.8675
185,4.2648
186,3.9264
187,3.0639
188,3.1353
189,3.6081
190,3.7541
191,4.0845
192,4.479
193,4.2979
194,3.8427
195,3.5056
196,3.6809
197,4.178999999999999
198,4.9253
199,4.8432
200,4.2095
201,4.3334
202,3.5728
203,3.3551
204,3.6761
205,4.0185
206,3.7447
207,3.4781
208,4.1524
209,3.898
210,3.0545
211,3.6468
212,4.602
213,3.6443
214,2.7138
215,2.5843
216,2.7575
217,3.3048
218,3.3402
219,3.155
220,2.7571
221,2.9931
222,2.8349
223,2.8083
224,3.0862
225,3.1526
226,3.0184
227,2.5093
228,2.6761
229,2.7859
230,1.8474
231,1.6911
232,2.6609
233,2.0309
234,2.9448
235,3.2144
236,3.7205
237,3.6142
238,3.2906
239,3.3694
240,2.8
241,2.9923
242,3.2572
243,4.7468
244,5.8695
245,6.8602
246,7.891
247,6.7813
248,6.2354
249,7.0945
250,6.6887
251,7.4655
252,7.6746
253,8.172
254,6.7268
255,7.1612
256,7.8658
257,8.1948
258,7.8405
259,7.2114
260,8.0557
261,7.7463
262,7.8697
263,7.8208
264,6.662000000000001
265,6.1785
266,7.6237
267,7.2599
268,7.4867
269,7.1994
270,6.0026
271,7.1579
272,6.2162
273,6.0023
274,6.6824
275,7.4329
276,7.1845
277,7.3359
278,6.1908
279,7.0152
280,5.7266
281,6.2192
282,5.8642
283,5.9437
284,6.6312
285,6.3821
286,6.7405
287,6.2531
288,5.6392
289,4.4636
290,3.3896
291,4.1164
292,2.9658
293,3.2756
294,2.5979
295,2.786
296,2.6038
297,2.4132
298,2.0979
299,1.6788
300,1.8423
301,1.5914
302,1.7247
303,1.6907
304,1.6218
305,1.8117
306,2.361
307,2.4911
308,1.8431
309,2.9177
310,3.3462
311,2.9474
312,2.7357
313,2.0472
314,1.8475
315,1.9718
316,1.9993
317,2.4072
318,1.9581
319,1.4449
320,1.0136
321,1.6972
322,1.9291
323,1.9351
324,2.1405
325,2.8031
326,3.4441
327,3.1651
328,1.7138
329,1.0439
330,1.2628
331,1.9054
332,2.5996
333,2.7816
334,3.1243
335,3.252
336,2.4226
337,2.7774
338,2.3639
339,2.857
340,3.2035
341,3.0132
342,2.9039
343,2.9924
344,3.1768
345,3.1905
346,3.253
347,3.313
348,3.6196
349,3.6057
350,3.8472
351,3.4073
352,3.0394
353,3.1352
354,3.4659
355,3.3739
356,3.3595
357,3.3213
358,3.273
359,3.5918
360,3.4331
361,3.6937
362,3.6563
363,3.4948
364,4.0551
365,4.2663
366,4.5675
367,4.6146
368,4.0789
369,3.7825
370,3.5194
371,3.907
372,3.6563
373,4.0175
374,3.851
375,4.2066
376,4.511
377,3.6534
378,4.1231
379,4.1634
380,3.9183
381,3.9203
382,3.7554
383,3.553
384,3.5307
385,3.5567
386,3.8042
387,5.9102
388,5.7834
389,7.0136
390,6.4022
391,5.9529
392,8.0689
393,7.4052
394,6.9427
395,7.8632
396,7.3868
397,8.2432
398,6.8163
399,7.0495
400,6.6667
401,6.5565
402,7.6206
403,5.9482
404,8.0725
405,8.4049
406,6.9377
407,6.5357
408,7.6257
409,6.1357
410,7.6739
411,7.3417
412,7.1585
413,7.294
414,6.5963
415,6.8331
416,7.4405
417,6.7408
418,6.678999999999999
419,7.3229
420,7.5531
421,6.9343
422,7.1607
423,7.4733
424,7.1933
425,6.1043
426,6.275
427,6.8789
428,6.7817
429,7.5879
430,6.1427
431,5.85
432,5.0831
433,3.9594
434,3.8886
435,3.6817
436,4.1622
437,4.7989
438,3.6294
439,2.8031
440,3.2989
441,2.8545
442,2.2833
443,1.4832
444,1.2429
445,1.3636
446,1.7282
447,2.4337
448,2.4303
449,2.4424
450,2.1273
451,2.5317
452,2.39
453,2.4699
454,1.8368
455,2.1025
456,2.1826
457,2.6926
458,3.044
459,2.9323
