id,wd
0,196.0624
1,193.6855
2,199.2331
3,206.1772
4,193.1064
5,194.3022
6,212.6607
7,225.2871
8,239.7957
9,238.484
10,238.7475
11,250.2028
12,270.9858
13,300.4273
14,308.3575
15,306.9582
16,309.3721
17,303.267
18,313.6753
19,309.0085
20,292.0919
21,270.7172
22,278.7538
23,277.8633
24,282.828
25,295.0088
26,294.2537
27,296.6129
28,288.2782
29,308.4701
30,303.7604
31,303.1553
32,304.67400000000004
33,312.0594
34,327.6973
35,330.7016
36,317.5098
37,302.2604
38,296.339
39,290.9593
40,290.6333
41,283.0017
42,283.2112
43,289.8662
44,290.7518
45,297.5389
46,304.1545
47,307.1707
48,304.7064
49,300.8051
50,301.2834
51,300.1127
52,297.1754
53,295.083
54,297.8712
55,302.0233
56,297.1219
57,291.42400000000004
58,292.3846
59,291.8453
60,293.3278
61,294.3275
62,295.0387
63,299.216
64,294.9873
65,297.459
66,296.9531
67,296.6131
68,300.4859
69,296.536
70,301.657
71,305.6988
72,306.2859
73,308.5201
74,294.9068
75,287.617
76,284.1922
77,285.5308
78,291.8297
79,300.6268
80,312.0904
81,305.318
82,308.168
83,303.491
84,299.9071
85,296.3437
86,304.6719
87,313.4056
88,318.4412
89,316.6877
90,313.1457
91,315.5775
92,314.4619
93,323.6513
94,316.1885
95,312.713
96,310.5523
97,302.7206
98,281.883
99,276.1987
100,272.7529
101,285.4105
102,283.1631
103,276.0523
104,260.5224
105,266.437
106,260.4571
107,266.3927
108,267.5958
109,254.848
110,256.0976
111,246.6973
112,251.6634
113,259.1388
114,258.3794
115,259.5004
116,255.1829
117,252.0686
118,254.2574
119,246.8195
120,248.051
121,251.1429
122,250.3311
123,251.7518
124,241.1538
125,234.3302
126,239.3884
127,231.4083
128,232.219
129,237.8975
130,233.1449
131,233.5847
132,241.8378
133,240.1207
134,230.3249
135,236.3878
136,236.9947
137,241.1859
138,242.1488
139,248.7274
140,248.1613
141,247.5915
142,245.6818
143,260.3816
144,250.8107
145,252.9361
146,256.6734
147,261.9777
148,265.7379
149,269.9623
150,258.6665
151,254.7246
152,258.4513
153,260.6088
154,261.5341
155,257.8184
156,260.5503
157,256.8696
158,259.4272
159,264.0289
160,261.0377
161,259.2558
162,264.3602
163,265.9231
164,264.7669
165,272.8327
166,304.6271
167,313.0927
168,316.7633
169,314.5991
170,312.4099
171,310.7247
172,311.701
173,313.6727
174,314.9612
175,308.7288
176,303.3657
177,293.9969
178,290.1077
179,293.2449
180,295.0032
181,302.072
182,309.4649
183,302.1146
184,300.4529
185,310.3732
186,302.5383
187,304.9834
188,305.6896
189,300.4345
190,301.1989
191,307.5658
192,313.3795
193,322.2235
194,321.9498
195,321.8193
196,315.5213
197,318.5929
198,319.8252
199,314.916
200,300.8931
201,295.2428
202,290.1986
203,282.6409
204,286.1919
205,292.3983
206,293.7706
207,297.154
208,302.4572
209,297.515
210,292.3225
211,286.4941
212,292.3912
213,289.6141
214,284.4201
215,291.6222
216,291.1131
217,285.7662
218,291.1006
219,296.4626
220,300.353
221,307.4519
222,304.1153
223,295.9728
224,310.5573
225,306.3692
226,301.6937
227,305.0194
228,318.7502
229,318.4217
230,306.9826
231,313.7698
232,320.6774
233,314.1411
234,328.0313
235,327.0862
236,329.0952
237,320.4116
238,318.9452
239,320.9425
240,307.1382
241,322.1774
242,319.8897
243,273.9069
244,283.883
245,269.9794
246,275.9414
247,276.9773
248,273.4024
249,265.9702
250,263.5501
251,265.431
252,266.6476
253,270.6016
254,271.0519
255,264.4378
256,262.1393
257,267.7151
258,260.0924
259,258.4973
260,262.6859
261,262.6698
262,264.3303
263,263.006
264,255.6939
265,268.7515
266,257.7883
267,258.8659
268,263.9447
269,261.707
270,251.3671
271,253.7687
272,247.9895
273,239.337
274,233.9093
275,235.677
276,235.7617
277,239.2575
278,238.4869
279,242.9791
280,239.1766
281,233.2455
282,233.3488
283,240.5888
284,255.961
285,243.8508
286,239.0207
287,247.0136
288,246.079
289,247.0546
290,244.5288
291,249.9096
292,255.1973
293,262.2147
294,246.8435
295,243.6438
296,249.6409
297,247.9446
298,254.3951
299,255.1874
300,259.9709
301,268.0923
302,259.4273
303,260.3887
304,265.3134
305,256.1437
306,255.5168
307,249.0394
308,299.4386
309,331.242
310,308.9526
311,308.5118
312,311.8699
313,309.1855
314,322.0611
315,318.3511
316,307.8367
317,312.313
318,317.1934
319,307.798
320,306.3989
321,308.1379
322,325.7783
323,321.9524
324,325.6411
325,326.3661
326,326.1852
327,325.86
328,303.0622
329,300.0699
330,307.6111
331,312.8672
332,317.8348
333,313.1432
334,313.0088
335,305.7346
336,298.6014
337,302.5675
338,296.2492
339,299.3301
340,304.3304
341,310.8806
342,314.1458
343,313.2264
344,311.1046
345,308.9346
346,305.2332
347,305.8389
348,316.0131
349,314.0287
350,312.3579
351,307.6798
352,300.9141
353,298.2247
354,295.2362
355,293.3697
356,289.5113
357,292.4498
358,295.4945
359,301.8523
360,303.216
361,304.3383
362,312.704
363,316.1349
364,308.4838
365,304.4601
366,305.2265
367,297.5503
